Date,Open,High,Low,Close,Volume
11/03/2023,"364.75","369.02","364.52","367.71","53,280,461"
11/02/2023,"361.54","363.68","360.30","363.44","58,162,441"
11/01/2023,"351.72","357.53","351.62","356.96","58,992,672"
10/31/2023,"349.23","351.25","346.62","350.87","47,671,910"
10/30/2023,"347.83","350.54","346.45","349.20","55,298,539"
10/27/2023,"346.43","348.84","344.08","345.31","63,476,711"
10/26/2023,"349.12","350.07","342.35","343.66","78,621,430"
10/25/2023,"356.70","356.88","349.75","350.34","71,190,547"
10/24/2023,"357.51","359.91","355.79","359.13","47,082,078"
10/23/2023,"353.26","359.26","351.12","355.67","60,665,191"
10/20/2023,"359.46","360.04","354.37","354.60","72,559,719"
10/19/2023,"364.81","366.02","359.16","359.97","72,274,242"
10/18/2023,"365.67","367.91","362.02","363.37","54,280,488"
10/17/2023,"365.81","369.92","363.66","368.20","50,999,102"
10/16/2023,"366.62","370.48","366.47","369.41","44,201,059"
10/13/2023,"370.57","371.16","363.86","365.28","52,519,879"
10/12/2023,"371.73","373.74","367.50","369.93","49,587,941"
10/11/2023,"369.94","371.41","368.19","371.22","38,215,090"
10/10/2023,"366.90","371.28","366.39","368.59","46,968,809"
10/09/2023,"362.30","367.11","360.78","366.56","45,304,770"
10/06/2023,"355.65","365.91","354.85","364.70","75,049,117"
10/05/2023,"359.74","360.15","355.14","358.69","45,897,391"
10/04/2023,"355.77","360.61","355.30","359.75","54,786,688"
10/03/2023,"358.78","361.01","353.28","354.92","60,478,488"
10/02/2023,"358.54","362.68","357.92","361.26","51,625,047"
09/29/2023,"361.54","362.95","357.02","358.27","64,829,621"
09/28/2023,"354.11","360.17","353.24","358.01","56,453,312"
09/27/2023,"355.38","356.98","351.36","355.04","56,065,969"
09/26/2023,"356.99","357.54","353.21","354.21","53,657,754"
09/25/2023,"356.93","359.70","355.93","359.61","39,167,992"
09/22/2023,"359.63","361.80","357.59","357.91","51,589,688"
09/21/2023,"360.80","361.60","357.69","357.86","69,734,852"
09/20/2023,"370.95","371.31","364.46","364.54","45,514,191"
09/19/2023,"369.32","370.68","366.80","369.87","37,621,727"
09/18/2023,"369.32","371.79","369.03","370.66","36,903,551"
09/15/2023,"375.91","376.32","369.86","370.81","69,811,211"
09/14/2023,"375.99","378.27","373.89","377.27","48,039,391"
09/13/2023,"373.03","375.84","371.88","374.21","46,300,680"
09/12/2023,"375.27","376.95","372.50","372.79","41,391,020"
09/11/2023,"375.66","377.49","373.66","376.97","39,936,633"
09/08/2023,"372.01","374.85","371.60","372.58","35,847,359"
09/07/2023,"370.21","372.85","369.15","372.06","52,060,719"
09/06/2023,"377.28","377.63","372.70","374.74","42,998,738"
09/05/2023,"376.77","379.31","375.83","378.07","32,344,221"
09/01/2023,"380.40","380.83","376.08","377.59","39,801,180"
08/31/2023,"376.94","379.72","376.87","377.99","35,730,699"
08/30/2023,"374.88","377.45","373.86","376.86","41,731,512"
08/29/2023,"366.56","375.13","366.23","374.77","58,492,367"
08/28/2023,"366.99","367.71","364.25","366.76","40,910,020"
08/25/2023,"362.07","365.74","358.58","364.02","69,960,469"
08/24/2023,"372.64","372.74","361.01","361.22","66,842,484"
08/23/2023,"364.58","370.22","364.36","369.11","51,770,602"
08/22/2023,"366.55","366.56","362.68","363.38","44,613,512"
08/21/2023,"359.62","364.59","359.15","363.90","50,696,520"
08/18/2023,"355.26","359.41","354.71","358.13","61,191,391"
08/17/2023,"363.96","364.31","358.16","358.58","62,604,340"
08/16/2023,"365.87","367.43","362.44","362.54","53,190,527"
08/15/2023,"369.36","370.17","365.74","366.42","45,539,887"
08/14/2023,"365.43","370.47","364.70","370.35","42,130,801"
08/11/2023,"365.99","368.00","364.69","366.24","48,707,191"
08/10/2023,"370.97","374.36","367.04","368.59","72,035,273"
08/09/2023,"372.29","372.45","367.14","367.91","51,150,898"
08/08/2023,"372.64","372.66","368.82","372.00","44,726,449"
08/07/2023,"373.88","375.29","371.51","375.19","37,230,441"
08/04/2023,"375.75","378.10","371.53","372.04","61,702,762"
08/03/2023,"371.94","375.95","371.77","373.79","47,855,379"
08/02/2023,"379.26","379.26","373.13","374.39","72,687,109"
08/01/2023,"382.31","383.56","380.69","382.79","41,308,461"
07/31/2023,"383.79","384.88","382.34","383.68","44,019,910"
07/28/2023,"380.74","384.52","380.22","383.48","56,902,930"
07/27/2023,"383.07","384.71","375.31","376.62","63,940,230"
07/26/2023,"377.72","379.24","375.18","377.52","47,075,711"
07/25/2023,"376.95","380.47","376.93","378.78","38,894,379"
07/24/2023,"376.62","377.58","374.34","376.23","40,380,059"
07/21/2023,"379.18","379.92","375.19","375.63","60,499,641"
07/20/2023,"382.61","384.10","375.72","376.76","71,941,672"
07/19/2023,"386.82","387.98","384.30","385.65","54,092,961"
07/18/2023,"381.96","387.13","380.00","385.74","55,343,441"
07/17/2023,"379.80","383.50","379.31","382.61","40,868,922"
07/14/2023,"379.59","382.86","378.18","379.07","55,148,500"
07/13/2023,"376.05","379.99","375.46","379.15","46,960,008"
07/12/2023,"372.34","374.19","370.30","372.82","61,703,699"
07/11/2023,"366.79","368.63","364.62","368.17","38,214,152"
07/10/2023,"365.96","367.05","363.41","366.36","48,498,801"
07/07/2023,"367.23","370.48","366.01","366.24","47,133,754"
07/06/2023,"366.51","367.91","364.52","367.46","49,374,727"
07/05/2023,"368.70","372.01","368.66","370.28","34,460,879"
07/03/2023,"370.07","370.93","368.97","370.29","19,379,820"
06/30/2023,"367.55","370.49","367.23","369.42","58,712,500"
06/29/2023,"364.24","364.89","362.14","363.81","46,150,969"
06/28/2023,"361.98","366.52","361.90","364.54","46,498,031"
06/27/2023,"359.25","364.57","358.51","363.83","49,428,090"
06/26/2023,"362.00","364.84","357.59","357.68","52,685,480"
06/23/2023,"362.21","364.88","360.82","362.54","48,922,910"
06/22/2023,"360.63","366.33","360.22","366.17","47,603,039"
06/21/2023,"365.74","366.18","360.96","361.90","53,378,262"
06/20/2023,"365.95","368.32","363.89","366.90","49,204,719"
06/16/2023,"372.72","372.85","367.48","367.93","80,931,969"
06/15/2023,"364.61","371.77","363.98","370.26","71,138,812"
06/14/2023,"363.27","366.19","360.42","365.90","69,525,641"
06/13/2023,"363.29","364.11","360.03","363.26","57,097,801"
06/12/2023,"356.19","360.59","355.20","360.49","44,817,648"
06/09/2023,"354.63","357.66","353.03","354.50","53,196,930"
06/08/2023,"349.12","353.62","348.89","353.15","47,153,922"
06/07/2023,"355.13","357.12","348.18","348.82","69,225,938"
06/06/2023,"354.28","355.82","352.93","354.84","41,390,398"
06/05/2023,"354.43","357.50","353.85","354.90","47,266,230"
06/02/2023,"353.80","355.83","352.01","354.65","53,372,113"
06/01/2023,"347.73","353.36","346.66","352.01","50,488,602"
05/31/2023,"348.37","350.60","346.51","347.99","65,105,379"
05/30/2023,"352.71","353.93","348.53","349.98","72,652,156"
05/26/2023,"340.76","349.25","340.66","348.40","63,006,953"
05/25/2023,"339.14","341.01","336.67","339.72","66,862,766"
05/24/2023,"331.37","332.91","329.56","331.65","62,891,168"
05/23/2023,"335.89","337.06","333.00","333.36","48,216,660"
05/22/2023,"336.25","338.67","336.24","337.64","43,015,953"
05/19/2023,"337.49","338.21","335.43","336.51","61,554,930"
05/18/2023,"331.52","337.49","331.50","337.27","64,213,473"
