Date,Open,High,Low,Close,Adj Close,Volume
12/3/18,16.040001,17.280001,15.94,16.440001,16.440001,0
12/4/18,16.84,21.940001,16.26,20.74,20.74,0
12/5/18,null,null,null,null,null,null
12/6/18,23.530001,25.940001,20.940001,21.190001,21.190001,0
12/7/18,22.42,24.709999,19.9,23.23,23.23,0
12/10/18,23.950001,25.940001,22.5,22.639999,22.639999,0
12/11/18,22.959999,23.6,21.389999,21.76,21.76,0
12/12/18,21.91,21.91,20.5,21.459999,21.459999,0
12/13/18,21,21.57,20.34,20.65,20.65,0
12/14/18,21.57,22.469999,20.950001,21.629999,21.629999,0
12/17/18,22.360001,25.879999,21.969999,24.52,24.52,0
12/18/18,24.68,26.139999,23.639999,25.58,25.58,0
12/19/18,25.15,26.639999,22.5,25.58,25.58,0
12/20/18,26.09,30.299999,24.68,28.379999,28.379999,0
12/21/18,28.24,31.35,25.709999,30.110001,30.110001,0
12/24/18,29.290001,36.099998,29.16,36.07,36.07,0
12/25/18,null,null,null,null,null,null
12/26/18,35.5,36.200001,29.59,30.41,30.41,0
12/27/18,31.200001,33.799999,29.66,29.959999,29.959999,0
12/28/18,29.969999,31.049999,27.43,28.34,28.34,0
12/31/18,27.59,27.639999,25.33,25.42,25.42,0
1/1/19,null,null,null,null,null,null
1/2/19,27.540001,28.530001,23.049999,23.219999,23.219999,0
1/3/19,25.68,26.6,24.049999,25.450001,25.450001,0
1/4/19,24.360001,24.48,21.190001,21.379999,21.379999,0
1/7/19,22.059999,22.709999,20.91,21.4,21.4,0
1/8/19,20.959999,22.030001,20.09,20.469999,20.469999,0
1/9/19,20.440001,22.799999,19.48,19.98,19.98,0
1/10/19,20.98,21.32,19.290001,19.5,19.5,0
1/11/19,19.68,20.16,18.120001,18.190001,18.190001,0
1/14/19,19.84,20.27,18.700001,19.07,19.07,0
1/15/19,18.530001,19.200001,17.98,18.6,18.6,0
1/16/19,18.08,19.040001,17.76,19.040001,19.040001,0
1/17/19,19.51,19.719999,17.85,18.059999,18.059999,0
1/18/19,17.799999,18.18,17.17,17.799999,17.799999,0
1/21/19,null,null,null,null,null,null
1/22/19,18.530001,21.15,18.200001,20.799999,20.799999,0
1/23/19,20.85,22.02,19.469999,19.52,19.52,0
1/24/19,19.690001,20.25,18.629999,18.889999,18.889999,0
1/25/19,18.43,18.459999,17.309999,17.42,17.42,0
1/28/19,18.559999,20.42,18.42,18.870001,18.870001,0
1/29/19,19.450001,19.93,18.42,19.129999,19.129999,0
1/30/19,19.15,19.309999,17.540001,17.66,17.66,0
1/31/19,17.389999,17.719999,16.540001,16.57,16.57,0
2/1/19,16.629999,16.83,16.08,16.139999,16.139999,0
2/4/19,16.719999,16.73,15.6,15.73,15.73,0
2/5/19,15.79,15.94,15.04,15.57,15.57,0
2/6/19,15.44,15.87,15.09,15.38,15.38,0
2/7/19,15.66,17.889999,15.51,16.370001,16.370001,0
2/8/19,16.809999,17.629999,15.62,15.72,15.72,0
2/11/19,16.17,16.5,15.34,15.97,15.97,0
2/12/19,15.23,15.65,14.95,15.43,15.43,0
2/13/19,15.46,15.91,15,15.65,15.65,0
2/14/19,15.61,17.27,15.3,16.219999,16.219999,0
2/15/19,16.82,16.82,14.79,14.91,14.91,0
2/18/19,null,null,null,null,null,null
2/19/19,15.65,16.16,14.64,14.88,14.88,0
2/20/19,14.92,15.19,13.99,14.02,14.02,0
2/21/19,14,15.17,13.85,14.46,14.46,0
2/22/19,14.46,14.47,13.51,13.51,13.51,0
2/25/19,13.91,14.9,13.44,14.85,14.85,0
2/26/19,15.16,15.28,14.52,15.17,15.17,0
2/27/19,15.53,16.17,14.7,14.7,14.7,0
2/28/19,15.17,15.24,14.39,14.78,14.78,0
3/1/19,14.57,14.84,13.41,13.57,13.57,0
3/4/19,13.77,16.98,13.38,14.63,14.63,0
3/5/19,14.52,15.39,14.26,14.74,14.74,0
3/6/19,14.91,16.110001,14.74,15.74,15.74,0
3/7/19,16.33,17.809999,15.54,16.59,16.59,0
3/8/19,17.379999,18.33,16.02,16.049999,16.049999,0
3/11/19,16.280001,16.43,14.33,14.33,14.33,0
3/12/19,13.97,14.7,13.61,13.77,13.77,0
3/13/19,14,14.05,13.25,13.41,13.41,0
3/14/19,13.35,13.84,13.16,13.5,13.5,0
3/15/19,13.21,13.28,12.5,12.88,12.88,0
3/18/19,13.13,13.8,13,13.1,13.1,0
3/19/19,12.89,13.77,12.37,13.56,13.56,0
3/20/19,13.54,14.3,13.05,13.91,13.91,0
3/21/19,14.11,14.56,13.26,13.63,13.63,0
3/22/19,13.77,17.52,13.62,16.48,16.48,0
3/25/19,17.76,17.85,16.26,16.33,16.33,0
3/26/19,16.219999,16.299999,14.67,14.68,14.68,0
3/27/19,14.52,16.709999,14.51,15.15,15.15,0
3/28/19,15.38,15.62,14.41,14.43,14.43,0
3/29/19,14.19,14.43,13.64,13.71,13.71,0
4/1/19,13.9,14.01,13.32,13.4,13.4,0
4/2/19,13.62,13.68,13.13,13.36,13.36,0
4/3/19,13.06,14.27,12.85,13.74,13.74,0
4/4/19,13.84,14.03,13.4,13.58,13.58,0
4/5/19,13.46,13.47,12.17,12.82,12.82,0
4/8/19,13.55,13.77,13.1,13.18,13.18,0
4/9/19,13.46,14.39,13.31,14.28,14.28,0
4/10/19,14.09,14.29,13.27,13.3,13.3,0
4/11/19,13.37,13.58,12.91,13.02,13.02,0
4/12/19,12.96,12.96,11.95,12.01,12.01,0
4/15/19,12.46,13.14,12.24,12.32,12.32,0
4/16/19,12.26,12.47,11.85,12.18,12.18,0
4/17/19,12.12,13.02,11.03,12.6,12.6,0
4/18/19,12.8,13.12,12.02,12.09,12.09,0
4/19/19,null,null,null,null,null,null
4/22/19,13.21,13.36,12.38,12.42,12.42,0
4/23/19,12.66,12.69,12.08,12.28,12.28,0
4/24/19,12.53,13.23,12.26,13.14,13.14,0
4/25/19,13.29,14.3,12.81,13.25,13.25,0
4/26/19,13.44,13.62,12.49,12.73,12.73,0
4/29/19,13.04,13.27,12.65,13.11,13.11,0
4/30/19,13.11,14.05,12.88,13.12,13.12,0
5/1/19,12.86,14.83,12.74,14.8,14.8,0
5/2/19,14.35,15.92,13.8,14.42,14.42,0
5/3/19,14.11,14.15,12.8,12.87,12.87,0
5/6/19,12.89,18.799999,12.89,15.44,15.44,0
5/7/19,15.9,21.84,15.8,19.32,19.32,0
5/8/19,18.950001,21.74,18.290001,19.4,19.4,0
5/9/19,21.4,23.379999,18.870001,19.1,19.1,0
5/10/19,18.790001,20.190001,15.57,16.040001,16.040001,0
5/13/19,18.620001,21.32,18.35,20.549999,20.549999,0
5/14/19,19.4,19.65,17.450001,18.059999,18.059999,0
5/15/19,17.57,19.15,16.41,16.440001,16.440001,0
5/16/19,16.690001,17.129999,15.16,15.29,15.29,0
